ドアが開きます,ドアを開けます
ドアが閉ります,ドアを閉めます
犬が出ます,犬を出します
耳が動きます,耳を動かします
車が止まります,車を止めます
電気がつきます,電気をつけます
電気が消えます,電気を消します
予定が変わります,予定を変えます
病気が治ります,病気を治します
レッスンが始まります,れっすんを始めます
カメラが壊れます,カメラを壊します
パソコンが直ります,パソコンを直します
荷物が届きます,荷物を届けます
値段が上がります,値段を上げます
値段が下がります,値段を下げます
仕事が増えます,仕事を増やします
体重が減ります,体重を減らします
レッスンが続きます,レッスンを続けます
子供が助かります,子供を助けます
テーブルが回ります,テーブルを回します
腕が曲がります,腕を曲げます
足の骨が折れます,足の骨を折ります
人が集まります,人を集めます
人が並びます,人を並べます
コーヒーがこぼれます,コーヒーをこぼします
卵が割れます,卵を割ります
ロープが切れます,ロープを切ります
ごみが燃えます,ごみを燃やします
ボタンが取れます,ボタンを取ります
ボタンが外れます,ボタンを外します
ペンが落ちます,ペンを落とします
音楽が聞こえます,音楽を聞きます
富士山が見えます,富士山を見ます
財布がなくなります,財布をなくします
財布が見つかります,財布を見つけます
予定が決まります,予定を決めます
風が入ります,風を入れます
お湯が沸きます,お湯を沸かします
パンが焼けます,パンを焼きます
にくが煮えます,肉を煮ます
ビールが売れます,ビールを売ります
書類が揃います,書類を揃えます
仕事が進みます,仕事を進めます
仕事が済みます,仕事を済ませます
時間が過ぎます,時間を過ごします
ストレスが溜まります,ストレスを溜めます
お金が貯まります,お金を貯めます
水が流れます,水を流します
木が倒れます,木を倒します
紙が破れます,紙を破ります
髪が乾きます,髪を乾かします
体が冷えます,体を冷やします
体が温まります,体を温めます
スープが冷めます,スープを冷まします
服が汚れます,服を汚します
子供が起きます,子供を起こします
皮がむけます,皮をむきます
赤ちゃんが生まれます,赤ちゃんを生みます
予定が延びます,予定を延ばします
犯人が捕まります,犯人を捕まえます
靴が脱げます,靴を脱ぎます
子供が寝ます,子供を寝かせます
子供が降ります,子供を降ろします
子供が育ちます,子供を育てます
１等が当たります,１等を当てます
お金が儲かります,お金を儲けます
メッセージが伝わります,メッセージを伝えます
髪が伸びます,髪を伸ばします
子供が隠れます,子供を隠します
